City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
449,Salisbury,GB,64.45,broken clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
450,Lagoa,PT,62.69,overcast clouds,39.05,-27.9833,Casa Das Faias
451,Sistranda,NO,64.36,clear sky,63.7256,8.834,Hotell Frøya
452,Erzin,TR,72.0,clear sky,36.9559,36.2,Artemis Otel
453,Numan,NG,77.85,overcast clouds,9.4667,12.0333,Zangun Motel
454,Yenagoa,NG,74.05,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
459,Dawei,MM,79.9,light rain,14.0833,98.2,Hotel Dawei
461,Shingu,JP,65.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
463,Lima,PE,70.14,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
465,Visby,SE,64.62,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
467,Inverness,GB,61.99,few clouds,57.4791,-4.224,Glen Mhor Hotel & Apartments
478,Labuhan,ID,78.42,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
480,Kousseri,CM,75.56,moderate rain,12.0769,15.0306,Le Pilotis
481,Chama,CH,71.76,broken clouds,47.1821,8.4636,City Garden Hotel
489,Langsa,ID,74.37,heavy intensity rain,4.4683,97.9683,OYO 2964 Hotel Ridho
490,Mokolo,CM,71.2,light rain,10.7398,13.8019,Diwa Hôtel
492,Chapais,CA,66.27,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
493,La Ronge,CA,72.19,few clouds,55.1001,-105.2842,Northland Motor Hotel
499,Lensk,RU,62.87,overcast clouds,60.7253,114.9278,ТинОрС
503,Rocha,UY,67.82,light rain,-34.4833,-54.3333,Beleza Pura B&B
505,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,Valle Aridane
508,Hauterive,FR,64.18,moderate rain,46.0901,3.4459,Aletti Palace Hotel
513,Kuvandyk,RU,61.65,moderate rain,51.4781,57.3552,Hotel Kamenka
515,Camabatela,AO,66.7,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
522,Hanna,CA,76.87,few clouds,51.6334,-111.9018,"West View Motel, Hanna, AB"
523,Bereda,ES,61.41,clear sky,43.2686,-7.5406,Pazo de Verdes
526,Beckley,US,76.89,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
528,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,waigo splash hotel
531,San Policarpo,PH,77.92,overcast clouds,12.1791,125.5072,JM Lodge
532,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
533,Maragogi,BR,78.48,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
535,Xiamen,CN,73.92,light rain,24.4798,118.0819,Xiamen Dongchen Hotel
541,Xuddur,SO,77.02,broken clouds,4.1213,43.8894,Banjanay Hotel
542,Yatou,CN,62.1,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
543,Lovozero,RU,65.88,overcast clouds,68.005,35.0117,Country house Lovozero
550,Zdunska Wola,PL,67.08,overcast clouds,51.5992,18.9397,Hotel OPIS Zduńska Wola Obiady domowe Wesela Stypy Komunie Imprezy regionalne Zduńska Wola
558,Schweinfurt,DE,72.23,scattered clouds,50.05,10.2333,Hotel Ross
560,Mizan Teferi,ET,60.33,few clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
561,Aurangabad,IN,77.74,overcast clouds,19.8833,75.3333,OYO Rooms 012 Kushal Nagar
563,Palu,ID,75.78,few clouds,-0.8917,119.8707,Hotel Santika Palu
565,Silopi,TR,75.25,clear sky,37.2497,42.4694,"Özenler Residence Otel, Şırnak Silopi"
