City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,Kanniyakumari,8.0833,77.5667,77.5,94,100,22.57,IN,2021-05-26 01:49:01
197,Hami,42.8,93.45,80.91,12,0,7.85,CN,2021-05-26 01:49:05
198,Sechura,-5.5569,-80.8222,72.1,76,85,12.8,PE,2021-05-26 01:49:33
199,Cidreira,-30.1811,-50.2056,55.51,73,0,10.65,BR,2021-05-26 01:49:47
200,Ancud,-41.8697,-73.8203,55.42,94,100,13.76,CL,2021-05-26 01:49:47
201,Huadian,42.9633,126.7478,62.22,54,100,20.02,CN,2021-05-26 01:49:48
202,Khandyga,62.6667,135.6,53.4,70,100,5.01,RU,2021-05-26 01:49:48
203,Severo-Kurilsk,50.6789,156.125,37.9,98,100,14.38,RU,2021-05-26 01:49:48
204,Kodlipet,12.8,75.8833,67.78,93,100,7.74,IN,2021-05-26 01:49:49
205,Wanning,18.8003,110.3967,86.94,70,12,11.56,CN,2021-05-26 01:49:49
206,Bilibino,68.0546,166.4372,49.71,57,100,8.08,RU,2021-05-26 01:49:49
207,Las Vegas,36.175,-115.1372,92.08,7,1,16.11,US,2021-05-26 01:46:19
208,Kenai,60.5544,-151.2583,69.03,47,1,12.66,US,2021-05-26 01:49:50
209,Humaita,-7.5061,-63.0208,78.3,81,89,1.36,BR,2021-05-26 01:49:50
210,Husavik,66.0449,-17.3389,39.11,80,20,12.37,IS,2021-05-26 01:49:50
211,Zeya,53.75,127.2667,45.23,60,100,2.93,RU,2021-05-26 01:49:51
212,The Valley,18.217,-63.0578,80.82,73,25,17.43,AI,2021-05-26 01:49:51
213,Tasiilaq,65.6145,-37.6368,35.76,90,100,41.11,GL,2021-05-26 01:48:39
214,Ende,-8.8432,121.6623,84.97,65,25,3.22,ID,2021-05-26 01:49:52
215,Luderitz,-26.6481,15.1594,61.5,68,0,7.38,NA,2021-05-26 01:49:52
216,San Ignacio,17.1561,-89.0714,82.54,74,0,4.29,BZ,2021-05-26 01:49:52
217,Valle Hermoso,25.6667,-97.8333,82.54,76,100,15.1,MX,2021-05-26 01:49:52
218,Faya,18.3851,42.4509,68.11,40,20,4.34,SA,2021-05-26 01:49:53
219,Naica,27.85,-105.4833,83.61,10,81,2.77,MX,2021-05-26 01:49:53
220,Haguenau,48.8156,7.7905,53.69,86,100,7.9,FR,2021-05-26 01:49:53
221,Salzkotten,51.6717,8.6009,48.78,83,0,1.01,DE,2021-05-26 01:49:11
222,Candido Mendes,-1.4467,-45.7167,75.61,92,12,4.14,BR,2021-05-26 01:49:54
223,Fare,-16.7,-151.0167,80.78,70,70,9.06,PF,2021-05-26 01:49:49
224,Nola,40.922,14.5329,62.55,87,86,1.01,IT,2021-05-26 01:49:54
225,Belmonte,-15.8631,-38.8828,75.7,83,16,3.38,BR,2021-05-26 01:48:05
226,Vila Franca Do Campo,37.7167,-25.4333,64.81,88,100,10.27,PT,2021-05-26 01:47:26
227,Malatya,38.5,38.0,55.45,31,0,7.78,TR,2021-05-26 01:49:55
228,Along,28.1667,94.7667,76.62,89,100,1.77,IN,2021-05-26 01:49:55
229,Sal Rei,16.1833,-22.9167,70.36,84,0,18.41,CV,2021-05-26 01:49:55
230,Acajutla,13.5928,-89.8275,79.38,80,100,15.41,SV,2021-05-26 01:49:56
231,Ponta Do Sol,32.6667,-17.1,65.03,66,100,5.73,PT,2021-05-26 01:49:56
232,Lima,-12.0432,-77.0282,63.14,65,90,5.75,PE,2021-05-26 01:49:56
233,Lebu,-37.6167,-73.65,53.65,90,100,4.92,CL,2021-05-26 01:47:11
234,Timizart,36.8,4.2667,59.34,82,100,9.1,DZ,2021-05-26 01:49:57
235,Ust-Kulom,61.6864,53.6902,46.38,92,100,7.18,RU,2021-05-26 01:49:57
236,San Quintin,30.4833,-115.95,64.53,74,35,8.41,MX,2021-05-26 01:49:57
237,Leningradskiy,69.3833,178.4167,36.81,83,32,8.88,RU,2021-05-26 01:49:58
238,Asau,46.4333,26.4,59.76,100,4,4.88,RO,2021-05-26 01:49:58
239,Korla,41.7597,86.1469,80.58,14,0,9.13,CN,2021-05-26 01:49:58
240,Concordia,-31.393,-58.0209,51.87,94,0,4.0,AR,2021-05-26 01:49:59
241,Bengkulu,-3.8004,102.2655,83.17,71,98,2.77,ID,2021-05-26 01:49:59
242,Ostrovnoy,68.0531,39.5131,34.68,73,11,7.07,RU,2021-05-26 01:46:40
243,Coquimbo,-29.9533,-71.3436,55.13,87,0,5.06,CL,2021-05-26 01:49:59
244,Iqaluit,63.7506,-68.5145,28.13,86,90,15.01,CA,2021-05-26 01:50:00
245,Tubuala,9.5167,-79.0333,81.34,88,100,1.16,PA,2021-05-26 01:50:00
246,Sioux Lookout,50.1001,-91.917,64.47,45,75,12.66,CA,2021-05-26 01:50:01
247,Chuy,-33.6971,-53.4616,47.86,83,0,6.4,UY,2021-05-26 01:50:01
248,Avera,33.194,-82.5271,82.71,50,100,7.27,US,2021-05-26 01:50:01
249,Chabahar,25.2919,60.643,85.93,81,0,6.91,IR,2021-05-26 01:50:02
250,Tuktoyaktuk,69.4541,-133.0374,30.2,86,90,6.91,CA,2021-05-26 01:50:03
251,Kavaratti,10.5669,72.642,83.37,74,100,16.04,IN,2021-05-26 01:50:03
252,Henties Bay,-22.116,14.2845,62.96,81,0,6.96,NA,2021-05-26 01:50:04
253,Ruteng,-8.6136,120.4721,73.89,56,11,1.61,ID,2021-05-26 01:50:04
254,Yerbogachen,61.2767,108.0108,42.82,45,99,6.4,RU,2021-05-26 01:50:04
255,Baykit,61.67,96.37,33.89,67,100,9.73,RU,2021-05-26 01:50:05
256,Manaure,11.7751,-72.4445,81.14,73,82,17.9,CO,2021-05-26 01:50:05
257,Redlands,34.0556,-117.1825,86.56,28,85,7.0,US,2021-05-26 01:50:06
258,Sabang,5.8933,95.3214,83.28,77,100,10.56,ID,2021-05-26 01:50:06
259,Katobu,-4.9408,122.5276,84.25,70,60,6.38,ID,2021-05-26 01:50:06
260,Kismayo,-0.3582,42.5454,78.33,77,10,16.64,SO,2021-05-26 01:50:06
261,Brooks,50.5834,-111.8851,55.38,58,100,4.61,CA,2021-05-26 01:46:44
262,Moyale,3.5167,39.0584,63.14,83,69,4.68,KE,2021-05-26 01:48:13
263,Banda Aceh,5.5577,95.3222,83.84,73,95,5.5,ID,2021-05-26 01:50:07
264,Vasterhaninge,59.1167,18.1,50.45,93,100,15.97,SE,2021-05-26 01:50:07
265,Kavieng,-2.5744,150.7967,80.82,83,100,6.8,PG,2021-05-26 01:45:30
266,Kurilsk,45.2333,147.8833,41.16,92,100,13.33,RU,2021-05-26 01:50:08
267,Lincoln,40.8,-96.667,82.31,70,1,9.22,US,2021-05-26 01:48:02
268,Eyl,7.9803,49.8164,78.1,73,15,19.8,SO,2021-05-26 01:50:08
269,Santa Maria,-29.6842,-53.8069,45.7,100,0,3.85,BR,2021-05-26 01:46:10
270,Nailsea,51.4324,-2.7585,47.75,91,7,10.36,GB,2021-05-26 01:50:08
271,Bowen,-20.0167,148.2333,75.42,54,100,16.26,AU,2021-05-26 01:50:09
272,Brae,60.3964,-1.353,48.11,90,100,16.28,GB,2021-05-26 01:50:09
273,La Cruz,23.9167,-106.9,80.47,74,11,3.0,MX,2021-05-26 01:50:09
274,Halifax,44.6453,-63.5724,54.52,69,75,5.01,CA,2021-05-26 01:50:01
275,Poco Das Trincheiras,-9.3125,-37.2856,68.22,94,13,3.11,BR,2021-05-26 01:50:10
276,Hohhot,40.8106,111.6522,64.69,39,20,11.9,CN,2021-05-26 01:46:06
277,Ilulissat,69.2167,-51.1,33.82,64,100,0.0,GL,2021-05-26 01:47:16
278,Talnakh,69.4865,88.3972,25.39,91,45,13.27,RU,2021-05-26 01:50:11
279,San Ramon,37.7799,-121.978,75.63,61,1,8.01,US,2021-05-26 01:46:56
280,Gondar,12.6,37.4667,64.81,26,32,4.5,ET,2021-05-26 01:50:11
281,Hofn,64.2539,-15.2082,44.11,84,99,10.31,IS,2021-05-26 01:45:28
282,Talcahuano,-36.7167,-73.1167,53.28,94,75,3.44,CL,2021-05-26 01:50:12
283,Poya,-21.35,165.15,74.41,48,35,8.01,NC,2021-05-26 01:50:12
284,Mastic Beach,40.7668,-72.8521,62.98,79,1,3.0,US,2021-05-26 01:50:12
285,Bathsheba,13.2167,-59.5167,81.21,61,20,15.08,BB,2021-05-26 01:50:13
286,Pisco,-13.7,-76.2167,65.01,94,90,3.44,PE,2021-05-26 01:50:13
287,Ritchie,-29.038,24.6028,43.81,52,3,5.99,ZA,2021-05-26 01:50:13
288,Horadiz,39.4488,47.3353,66.97,75,92,5.03,AZ,2021-05-26 01:50:14
289,Malakal,9.5334,31.6605,82.49,57,37,4.97,SS,2021-05-26 01:50:14
290,Saint Anthony,45.0205,-93.218,80.22,24,1,13.4,US,2021-05-26 01:50:14
291,Vila Velha,-20.3297,-40.2925,73.35,82,90,3.0,BR,2021-05-26 01:49:56
292,Hun,29.1268,15.9477,75.54,37,0,10.49,LY,2021-05-26 01:50:15
293,Banka,24.8833,86.9167,79.57,83,100,19.04,IN,2021-05-26 01:50:15
